Date,Initial Claims N.S.A,Initial Claims S.F.,Initial Claims S.A.,Initial Claims S.A. 4-Week,Continued Claims N.S.A,Continued Claims S.F.,Continued Claims S.A.,Continued Claims S.A. 4-Week,I.U.R N.S.A,I.U.R S.A.,Covered Employment
5/12/2007,"258,516",87.1,"297,000","304,750","2,329,671",94.5,"2,465,000","2,460,750",1.8,1.9,"131,660,675"
5/19/2007,"270,446",87.2,"310,000","302,000","2,231,139",92.3,"2,417,000","2,449,250",1.7,1.8,"131,660,675"
5/26/2007,"273,397",88.3,"310,000","304,250","2,261,581",91.2,"2,480,000","2,447,750",1.7,1.9,"131,660,675"
6/2/2007,"263,527",84.1,"313,000","307,500","2,267,710",92.5,"2,452,000","2,453,500",1.7,1.9,"131,660,675"
6/9/2007,"302,368",96.7,"313,000","311,500","2,298,047",92.5,"2,484,000","2,458,250",1.7,1.9,"131,660,675"
6/16/2007,"290,951",90.8,"320,000","314,000","2,278,797",92.9,"2,453,000","2,467,250",1.7,1.9,"131,660,675"
6/23/2007,"292,583",93.6,"313,000","314,750","2,353,893",93.4,"2,520,000","2,477,250",1.8,1.9,"131,660,675"
6/30/2007,"300,348",94.8,"317,000","315,750","2,303,357",92.1,"2,501,000","2,489,500",1.7,1.9,"131,660,675"
7/7/2007,"417,554",130.2,"321,000","317,750","2,581,098",100.7,"2,563,000","2,509,250",2,1.9,"132,170,980"
7/14/2007,"383,839",120.9,"317,000","317,000","2,588,709",101.3,"2,555,000","2,534,750",2,1.9,"132,170,980"
7/21/2007,"298,366",96.4,"310,000","316,250","2,463,232",98,"2,514,000","2,533,250",1.9,1.9,"132,170,980"
7/28/2007,"257,426",84.4,"305,000","313,250","2,445,524",96.4,"2,537,000","2,542,250",1.9,1.9,"132,170,980"
8/4/2007,"270,563",86.2,"314,000","311,500","2,409,122",95.2,"2,531,000","2,534,250",1.8,1.9,"132,170,980"
8/11/2007,"266,420",84.3,"316,000","311,250","2,414,968",94.5,"2,556,000","2,534,500",1.8,1.9,"132,170,980"
8/18/2007,"257,573",80.3,"321,000","314,000","2,369,648",92.7,"2,556,000","2,545,000",1.8,1.9,"132,170,980"
8/25/2007,"266,179",80.9,"329,000","320,000","2,353,210",91.6,"2,569,000","2,553,000",1.8,1.9,"132,170,980"
9/1/2007,"257,454",82,"314,000","320,000","2,236,358",87.2,"2,565,000","2,561,500",1.7,1.9,"132,170,980"
9/8/2007,"245,526",76.5,"321,000","321,250","2,242,616",88.4,"2,537,000","2,556,750",1.7,1.9,"132,170,980"
9/15/2007,"261,971",83.6,"313,000","319,250","2,160,459",85.2,"2,536,000","2,551,750",1.6,1.9,"132,170,980"
9/22/2007,"247,643",82.1,"302,000","312,500","2,140,701",84.6,"2,530,000","2,542,000",1.6,1.9,"132,170,980"
9/29/2007,"255,431",80.5,"317,000","313,250","2,112,935",83.9,"2,518,000","2,530,250",1.6,1.9,"132,170,980"
10/6/2007,"298,317",94.4,"316,000","312,000","2,097,457",83.2,"2,521,000","2,526,250",1.6,1.9,"132,623,886"
10/13/2007,"306,519",91.4,"335,000","317,500","2,175,026",85.6,"2,541,000","2,527,500",1.6,1.9,"132,623,886"
10/20/2007,"307,675",92,"334,000","325,500","2,241,942",86.3,"2,598,000","2,544,500",1.7,2,"132,623,886"
10/27/2007,"303,357",92.4,"328,000","328,250","2,261,001",87.4,"2,587,000","2,561,750",1.7,2,"132,623,886"
11/3/2007,"325,831",99.6,"327,000","331,000","2,292,297",87.6,"2,617,000","2,585,750",1.7,2,"132,623,886"
11/10/2007,"351,760",105.7,"333,000","330,500","2,293,872",88,"2,607,000","2,602,250",1.7,2,"132,623,886"
11/17/2007,"323,124",97.2,"332,000","330,000","2,217,421",85,"2,609,000","2,605,000",1.7,2,"132,623,886"
11/24/2007,"324,047",92,"352,000","336,000","2,725,801",103.5,"2,634,000","2,616,750",2.1,2,"132,623,886"
12/1/2007,"462,902",134.5,"344,000","340,250","2,623,378",99.4,"2,639,000","2,622,250",2,2,"132,623,886"
12/8/2007,"423,130",127.3,"332,000","340,000","2,701,670",101.1,"2,672,000","2,638,500",2,2,"132,623,886"
12/15/2007,"393,042",112.3,"350,000","344,500","2,813,226",102.8,"2,737,000","2,670,500",2.1,2.1,"132,623,886"
12/22/2007,"456,280",128.5,"355,000","345,250","2,812,232",102.2,"2,752,000","2,700,000",2.1,2.1,"132,623,886"
12/29/2007,"507,908",141.1,"360,000","349,250","3,304,308",119.7,"2,760,000","2,730,250",2.5,2.1,"132,623,886"
1/5/2008,"522,700",150.9,"346,000","352,750","3,509,826",124.1,"2,828,000","2,769,250",2.6,2.1,"133,010,953"
1/12/2008,"547,943",170.3,"322,000","345,750","3,288,631",119.5,"2,752,000","2,773,000",2.5,2.1,"133,010,953"
1/19/2008,"415,397",129.4,"321,000","337,250","3,263,036",117.8,"2,770,000","2,777,500",2.5,2.1,"133,010,953"
1/26/2008,"369,498",101,"366,000","338,750","3,333,980",117.2,"2,845,000","2,798,750",2.5,2.1,"133,010,953"
2/2/2008,"380,234",108.6,"350,000","339,750","3,351,862",119.3,"2,810,000","2,794,250",2.5,2.1,"133,010,953"
2/9/2008,"377,595",109.9,"344,000","345,250","3,329,894",117,"2,846,000","2,817,750",2.5,2.1,"133,010,953"
2/16/2008,"325,886",96,"339,000","349,750","3,310,911",116.7,"2,837,000","2,834,500",2.5,2.1,"133,010,953"
2/23/2008,"330,013",93.2,"354,000","346,750","3,394,243",117.7,"2,884,000","2,844,250",2.6,2.2,"133,010,953"
3/1/2008,"345,287",100.2,"345,000","345,500","3,351,954",116.9,"2,867,000","2,858,500",2.5,2.2,"133,010,953"
3/8/2008,"341,364",98,"348,000","346,500","3,296,982",113.9,"2,895,000","2,870,750",2.5,2.2,"133,010,953"
3/15/2008,"335,909",91.1,"369,000","354,000","3,268,145",112.8,"2,897,000","2,885,750",2.5,2.2,"133,010,953"
3/22/2008,"316,208",86,"368,000","357,500","3,214,056",109.4,"2,938,000","2,899,250",2.4,2.2,"133,010,953"
3/29/2008,"342,189",88.4,"387,000","368,000","3,209,920",108.2,"2,967,000","2,924,250",2.4,2.2,"133,010,953"
4/5/2008,"357,209",100.8,"354,000","369,500","3,087,716",104,"2,969,000","2,942,750",2.3,2.2,"133,382,559"
4/12/2008,"370,960",101.7,"365,000","368,500","3,066,005",104.4,"2,937,000","2,952,750",2.3,2.2,"133,382,559"
4/19/2008,"328,334",94,"349,000","363,750","2,967,150",100.1,"2,964,000","2,959,250",2.2,2.2,"133,382,559"
4/26/2008,"337,854",91.4,"370,000","359,500","2,964,706",99.3,"2,986,000","2,964,000",2.2,2.2,"133,382,559"
5/3/2008,"335,533",90.7,"370,000","363,500","2,846,543",95.1,"2,993,000","2,970,000",2.1,2.2,"133,382,559"
5/10/2008,"325,479",88.9,"366,000","363,750","2,847,327",95,"2,997,000","2,985,000",2.1,2.2,"133,382,559"
5/17/2008,"319,817",87.2,"367,000","368,250","2,807,612",93.1,"3,016,000","2,998,000",2.1,2.3,"133,382,559"
5/24/2008,"326,627",88.4,"369,000","368,000","2,757,822",91.7,"3,007,000","3,003,250",2.1,2.3,"133,382,559"
5/31/2008,"300,989",83.1,"362,000","366,000","2,828,892",92.6,"3,055,000","3,018,750",2.1,2.3,"133,382,559"
6/7/2008,"373,033",97.6,"382,000","370,000","2,799,718",93,"3,010,000","3,022,000",2.1,2.3,"133,382,559"
6/14/2008,"349,254",92.4,"378,000","372,750","2,852,595",93.3,"3,057,000","3,032,250",2.1,2.3,"133,382,559"
6/21/2008,"358,158",94,"381,000","375,750","2,855,557",93.5,"3,054,000","3,044,000",2.1,2.3,"133,382,559"
6/28/2008,"368,544",94.1,"392,000","383,250","2,858,010",91.9,"3,110,000","3,057,750",2.1,2.3,"133,382,559"
7/5/2008,"401,672",108.2,"371,000","380,500","3,119,577",100.2,"3,113,000","3,083,500",2.3,2.3,"133,690,617"
7/12/2008,"476,071",123.8,"385,000","382,250","3,153,562",101.6,"3,104,000","3,095,250",2.4,2.3,"133,690,617"
7/19/2008,"403,607",100.4,"402,000","387,500","3,191,698",98.9,"3,227,000","3,138,500",2.4,2.4,"133,690,617"
7/26/2008,"374,182",86.2,"434,000","398,000","3,160,029",96.9,"3,261,000","3,176,250",2.4,2.4,"133,690,617"
8/2/2008,"381,887",85.3,"448,000","417,250","3,193,245",95.9,"3,330,000","3,230,500",2.4,2.5,"133,690,617"
8/9/2008,"372,807",86.6,"430,000","428,500","3,157,267",94.9,"3,327,000","3,286,250",2.4,2.5,"133,690,617"
8/16/2008,"342,164",80.7,"424,000","434,000","3,171,619",93.7,"3,385,000","3,325,750",2.4,2.5,"133,690,617"
8/23/2008,"344,255",81.7,"421,000","430,750","3,116,252",92.1,"3,384,000","3,356,500",2.3,2.5,"133,690,617"
8/30/2008,"360,485",81.5,"442,000","429,250","3,059,025",88.3,"3,464,000","3,390,000",2.3,2.6,"133,690,617"
9/6/2008,"336,131",76.3,"441,000","432,000","3,040,383",88.9,"3,420,000","3,413,250",2.3,2.6,"133,690,617"
9/13/2008,"381,720",85,"449,000","438,250","3,014,496",86.3,"3,493,000","3,440,250",2.3,2.6,"133,690,617"
9/20/2008,"397,610",82.3,"483,000","453,750","3,018,620",85,"3,551,000","3,482,000",2.3,2.7,"133,690,617"
9/27/2008,"392,121",81.2,"483,000","464,000","3,057,698",84.4,"3,623,000","3,521,750",2.3,2.7,"133,690,617"
10/4/2008,"426,786",88.5,"482,000","474,250","3,073,515",83.6,"3,676,000","3,585,750",2.3,2.7,"133,902,387"
10/11/2008,"454,100",98.5,"461,000","477,250","3,134,390",84.8,"3,696,000","3,636,500",2.3,2.8,"133,902,387"
10/18/2008,"416,114",87.1,"478,000","476,000","3,233,118",86.7,"3,729,000","3,681,000",2.4,2.8,"133,902,387"
10/25/2008,"449,429",93.6,"480,000","475,250","3,310,892",86.6,"3,823,000","3,731,000",2.5,2.9,"133,902,387"
11/1/2008,"466,373",95.2,"490,000","477,250","3,460,633",88.1,"3,928,000","3,794,000",2.6,2.9,"133,902,387"
11/8/2008,"539,812",105.5,"512,000","490,000","3,521,951",87.8,"4,011,000","3,872,750",2.6,3,"133,902,387"
11/15/2008,"513,047",95.7,"536,000","504,500","3,781,631",94.5,"4,002,000","3,941,000",2.8,3,"133,902,387"
11/22/2008,"609,128",114.4,"532,000","517,500","3,652,990",89.2,"4,095,000","4,009,000",2.7,3.1,"133,902,387"
11/29/2008,"537,230",101.5,"529,000","527,250","4,495,571",101.1,"4,447,000","4,138,750",3.4,3.3,"133,902,387"
12/6/2008,"760,481",133.4,"570,000","541,750","4,377,029",99.1,"4,417,000","4,240,250",3.3,3.3,"133,902,387"
12/13/2008,"629,867",111.3,"566,000","549,250","4,591,216",103.3,"4,445,000","4,351,000",3.4,3.3,"133,902,387"
12/20/2008,"719,691",122.7,"587,000","563,000","4,566,281",100.4,"4,548,000","4,464,250",3.4,3.4,"133,902,387"
12/27/2008,"717,000",134.6,"533,000","564,000","5,311,032",113.5,"4,679,000","4,522,250",4,3.5,"133,902,387"
1/3/2009,"731,958",145.5,"503,000","547,250","5,845,860",124.6,"4,692,000","4,591,000",4.4,3.5,"133,886,830"
1/10/2009,"956,791",173.6,"551,000","543,500","5,650,014",118.7,"4,760,000","4,669,750",4.2,3.6,"133,886,830"
1/17/2009,"763,987",129.2,"591,000","544,500","5,715,432",117.5,"4,864,000","4,748,750",4.3,3.6,"133,886,830"
1/24/2009,"620,143",105.8,"586,000","557,750","5,806,901",116.6,"4,980,000","4,824,000",4.3,3.7,"133,886,830"
1/31/2009,"682,176",108.5,"629,000","589,250","5,952,109",118.8,"5,010,000","4,903,500",4.4,3.7,"133,886,830"
2/7/2009,"710,152",111.4,"637,000","610,750","5,971,341",115.8,"5,157,000","5,002,750",4.5,3.9,"133,886,830"
2/14/2009,"619,951",98.1,"632,000","621,000","6,107,800",115.7,"5,279,000","5,106,500",4.6,3.9,"133,886,830"
2/21/2009,"605,668",92.5,"655,000","638,250","6,230,217",117.4,"5,307,000","5,188,250",4.7,4,"133,886,830"
2/28/2009,"645,827",99.1,"652,000","644,000","6,359,961",116.8,"5,445,000","5,297,000",4.8,4.1,"133,886,830"
3/7/2009,"652,635",98.9,"660,000","649,750","6,356,097",113.5,"5,600,000","5,407,750",4.7,4.2,"133,886,830"
3/14/2009,"601,192",92.4,"651,000","654,500","6,440,135",113,"5,699,000","5,512,750",4.8,4.3,"133,886,830"
3/21/2009,"590,067",89.3,"661,000","656,000","6,388,414",109.6,"5,829,000","5,643,250",4.8,4.4,"133,886,830"
3/28/2009,"599,299",90.1,"665,000","659,250","6,451,690",108.7,"5,935,000","5,765,750",4.8,4.4,"133,886,830"
4/4/2009,"623,279",95.5,"653,000","657,500","6,327,841",104.7,"6,044,000","5,876,750",4.7,4.5,"133,683,433"
4/11/2009,"610,522",101.9,"599,000","644,500","6,406,046",104.5,"6,130,000","5,984,500",4.8,4.6,"133,683,433"
4/18/2009,"596,564",93.3,"639,000","639,000","6,339,490",101.2,"6,264,000","6,093,250",4.7,4.7,"133,683,433"
4/25/2009,"583,457",94.1,"620,000","627,750","6,280,863",99.7,"6,300,000","6,184,500",4.7,4.7,"133,683,433"
5/2/2009,"536,648",89.1,"602,000","615,000","6,191,149",96.5,"6,416,000","6,277,500",4.6,4.8,"133,683,433"
5/9/2009,"570,412",91.3,"625,000","621,500","6,203,661",95.2,"6,516,000","6,374,000",4.6,4.9,"133,683,433"
5/16/2009,"540,925",87.2,"620,000","616,750","6,153,284",94.1,"6,539,000","6,442,750",4.6,4.9,"133,683,433"
5/23/2009,"538,311",88.9,"606,000","613,250","6,033,293",92.5,"6,522,000","6,498,250",4.5,4.9,"133,683,433"
5/30/2009,"500,380",82.4,"607,000","614,500","6,144,006",92.6,"6,635,000","6,553,000",4.6,5,"133,683,433"
6/6/2009,"581,092",97.5,"596,000","607,250","6,083,219",93.5,"6,506,000","6,550,500",4.6,4.9,"133,683,433"
6/13/2009,"562,449",94.6,"595,000","601,000","6,113,832",93.7,"6,525,000","6,547,000",4.6,4.9,"133,683,433"
6/20/2009,"572,425",94.2,"608,000","601,500","6,079,261",93.7,"6,488,000","6,538,500",4.5,4.9,"133,683,433"
6/27/2009,"563,387",94.9,"594,000","598,250","6,062,527",91.6,"6,618,000","6,534,250",4.5,5,"133,683,433"
7/4/2009,"585,963",102.3,"573,000","592,500","6,175,227",100.5,"6,145,000","6,444,000",4.6,4.6,"133,078,480"
7/11/2009,"677,038",124,"546,000","580,250","6,258,240",102,"6,136,000","6,346,750",4.7,4.6,"133,078,480"
7/18/2009,"590,730",105.5,"560,000","568,250","6,105,329",99.8,"6,118,000","6,254,250",4.6,4.6,"133,078,480"
7/25/2009,"516,351",87.9,"587,000","566,500","6,021,088",97.8,"6,157,000","6,139,000",4.5,4.6,"133,078,480"
8/1/2009,"470,988",84.8,"555,000","562,000","5,897,272",96.5,"6,111,000","6,130,500",4.4,4.6,"133,078,480"
8/8/2009,"486,586",87.6,"555,000","564,250","5,809,704",95.4,"6,090,000","6,119,000",4.4,4.6,"133,078,480"
8/15/2009,"461,780",82.1,"562,000","564,750","5,683,164",94.6,"6,008,000","6,091,500",4.3,4.5,"133,078,480"
8/22/2009,"460,998",82.3,"560,000","558,000","5,623,445",92.8,"6,060,000","6,067,250",4.2,4.6,"133,078,480"
8/29/2009,"460,525",81.7,"564,000","560,250","5,438,521",91.1,"5,970,000","6,032,000",4.1,4.5,"133,078,480"
9/5/2009,"470,079",84.3,"558,000","561,000","5,301,307",87.2,"6,079,000","6,029,250",4,4.6,"133,078,480"
9/12/2009,"414,557",76.5,"542,000","556,000","5,224,957",87,"6,006,000","6,028,750",3.9,4.5,"133,078,480"
9/19/2009,"441,311",82.3,"536,000","550,000","5,074,784",85.4,"5,942,000","5,999,250",3.8,4.5,"133,078,480"
9/26/2009,"449,620",81.2,"554,000","547,500","5,019,227",84.9,"5,912,000","5,984,750",3.8,4.4,"133,078,480"
10/3/2009,"456,233",85.6,"533,000","541,250","4,956,333",84,"5,900,000","5,940,000",3.8,4.5,"131,823,421"
10/10/2009,"513,852",100.6,"511,000","533,500","4,919,102",84.4,"5,828,000","5,895,500",3.7,4.4,"131,823,421"
10/17/2009,"464,985",87.5,"531,000","532,250","4,987,516",86.8,"5,746,000","5,846,500",3.8,4.4,"131,823,421"
10/24/2009,"499,374",94.2,"530,000","526,250","4,934,724",86.5,"5,705,000","5,794,750",3.7,4.3,"131,823,421"
10/31/2009,"487,714",93.5,"522,000","523,500","4,965,336",87.9,"5,649,000","5,732,000",3.8,4.3,"131,823,421"
11/7/2009,"537,230",104.9,"512,000","523,750","4,888,630",87.8,"5,568,000","5,667,000",3.7,4.2,"131,823,421"
11/14/2009,"479,350",94.6,"507,000","517,750","5,084,817",93.1,"5,462,000","5,596,000",3.9,4.1,"131,823,421"
11/21/2009,"547,022",113.4,"482,000","505,750","4,802,559",87.5,"5,489,000","5,542,000",3.6,4.2,"131,823,421"
11/28/2009,"462,090",97.3,"475,000","494,000","5,402,723",101.5,"5,323,000","5,460,500",4.1,4,"131,823,421"
12/5/2009,"673,097",135.5,"497,000","490,250","5,193,809",98.2,"5,289,000","5,390,750",3.9,4,"131,823,421"
12/12/2009,"561,655",112.8,"498,000","488,000","5,346,238",103,"5,191,000","5,323,000",4.1,3.9,"131,823,421"
12/19/2009,"571,378",119.3,"479,000","487,250","5,089,577",99.8,"5,100,000","5,225,750",3.9,3.9,"131,823,421"
12/26/2009,"561,852",120.1,"468,000","485,500","5,485,710",110,"4,987,000","5,141,750",4.2,3.8,"131,823,421"
1/2/2010,"651,215",142.9,"456,000","475,250","6,014,881",123.5,"4,870,000","5,037,000",4.6,3.7,"130,128,328"
1/9/2010,"825,891",176.2,"469,000","468,000","5,791,336",118.7,"4,879,000","4,959,000",4.5,3.7,"130,128,328"
1/16/2010,"659,173",130,"507,000","475,000","5,602,811",116.5,"4,809,000","4,886,250",4.3,3.7,"130,128,328"
1/23/2010,"507,651",107.7,"471,000","475,750","5,683,672",117.4,"4,841,000","4,849,750",4.4,3.7,"130,128,328"
1/30/2010,"538,617",108.5,"496,000","485,750","5,683,482",118.5,"4,796,000","4,831,250",4.4,3.7,"130,128,328"
2/6/2010,"512,463",110,"466,000","485,000","5,597,271",115.7,"4,838,000","4,821,000",4.3,3.7,"130,128,328"
2/13/2010,"482,078",98.5,"489,000","480,500","5,546,388",115.2,"4,815,000","4,822,500",4.3,3.7,"130,128,328"
2/20/2010,"458,160",91.6,"500,000","487,750","5,596,737",117.4,"4,767,000","4,804,000",4.3,3.7,"130,128,328"
2/27/2010,"474,662",97.3,"488,000","485,750","5,544,103",116.6,"4,755,000","4,793,750",4.3,3.7,"130,128,328"
3/6/2010,"462,679",98,"472,000","487,250","5,405,031",113.4,"4,766,000","4,775,750",4.2,3.7,"130,128,328"
3/13/2010,"439,061",91.9,"478,000","484,500","5,357,581",112.8,"4,750,000","4,759,500",4.1,3.7,"130,128,328"
3/20/2010,"413,067",87.6,"472,000","477,500","5,207,496",109.8,"4,743,000","4,753,500",4,3.6,"130,128,328"
3/27/2010,"412,710",89.9,"459,000","470,250","5,055,002",108.3,"4,668,000","4,731,750",3.9,3.6,"130,128,328"
4/3/2010,"421,130",87.9,"479,000","472,000","4,987,473",104.9,"4,755,000","4,729,000",3.8,3.7,"130,128,328"
4/10/2010,"514,136",107.4,"479,000","472,250","4,931,238",103.9,"4,746,000","4,728,000",3.8,3.7,"128,298,468"
4/17/2010,"436,814",93.2,"469,000","471,500","4,796,318",101.6,"4,721,000","4,722,500",3.7,3.7,"128,298,468"
4/24/2010,"429,196",95.6,"449,000","469,000","4,671,227",99.6,"4,690,000","4,728,000",3.6,3.7,"128,298,468"
5/1/2010,"399,350",88.6,"451,000","462,000","4,549,602",96.9,"4,695,000","4,713,000",3.5,3.7,"128,298,468"
5/8/2010,"414,327",91.8,"451,000","455,000","4,471,786",95,"4,707,000","4,703,250",3.5,3.7,"128,298,468"
5/15/2010,"414,572",87.4,"474,000","456,250","4,411,435",94.1,"4,688,000","4,695,000",3.4,3.7,"128,298,468"
5/22/2010,"410,778",88.8,"463,000","459,750","4,380,562",92.6,"4,731,000","4,705,250",3.4,3.7,"128,298,468"
5/29/2010,"418,873",91.5,"458,000","461,500","4,202,202",92.3,"4,553,000","4,669,750",3.3,3.5,"128,298,468"
6/5/2010,"398,864",86.9,"459,000","463,500","4,319,021",93.4,"4,624,000","4,649,000",3.4,3.6,"128,298,468"
6/12/2010,"448,305",96,"467,000","461,750","4,306,402",93.5,"4,606,000","4,628,500",3.4,3.6,"128,298,468"
6/19/2010,"427,080",94.4,"452,000","459,000","4,328,074",93.7,"4,619,000","4,600,500",3.4,3.6,"128,298,468"
6/26/2010,"444,712",95.9,"464,000","460,500","4,309,375",96.1,"4,484,000","4,583,250",3.4,3.5,"128,298,468"
7/3/2010,"470,366",103.5,"454,000","459,250","4,384,591",94.9,"4,620,000","4,582,250",3.4,3.6,"128,298,468"
7/10/2010,"515,991",117.5,"439,000","452,250","4,562,782",101.8,"4,482,000","4,551,250",3.6,3.5,"126,763,245"
7/17/2010,"502,065",108.7,"462,000","454,750","4,554,316",100.2,"4,545,000","4,532,750",3.6,3.6,"126,763,245"
7/24/2010,"413,679",89,"465,000","455,000","4,438,886",98,"4,529,000","4,544,000",3.5,3.6,"126,763,245"
7/31/2010,"402,140",84.4,"476,000","460,500","4,333,445",97,"4,467,000","4,505,750",3.4,3.5,"126,763,245"
8/7/2010,"425,471",88.1,"483,000","471,500","4,281,074",95.6,"4,478,000","4,504,750",3.4,3.5,"126,763,245"
8/14/2010,"405,484",83.4,"486,000","477,500","4,219,639",95.2,"4,432,000","4,476,500",3.3,3.5,"126,763,245"
8/21/2010,"384,955",83,"464,000","477,250","4,125,414",93.2,"4,426,000","4,450,750",3.3,3.5,"126,763,245"
8/28/2010,"383,135",82.1,"467,000","475,000","4,138,965",91.8,"4,509,000","4,461,250",3.3,3.6,"126,763,245"
9/4/2010,"381,863",84.4,"452,000","467,250","3,933,895",87.4,"4,501,000","4,467,000",3.1,3.6,"126,763,245"
9/11/2010,"341,791",76.9,"444,000","456,750","3,930,908",87.6,"4,487,000","4,480,750",3.1,3.5,"126,763,245"
9/18/2010,"382,341",83.3,"459,000","455,500","3,810,921",85.6,"4,452,000","4,487,250",3,3.5,"126,763,245"
9/25/2010,"372,551",81.2,"459,000","453,500","3,779,910",85.3,"4,431,000","4,467,750",3,3.5,"126,763,245"
10/2/2010,"373,681",83.8,"446,000","452,000","3,705,947",84.1,"4,407,000","4,444,250",2.9,3.5,"126,763,245"
10/9/2010,"462,667",100.7,"459,000","455,750","3,715,967",84.4,"4,403,000","4,423,250",3,3.5,"125,845,577"
10/16/2010,"394,016",88.8,"444,000","452,000","3,769,438",86.7,"4,348,000","4,397,250",3,3.5,"125,845,577"
10/23/2010,"408,489",94.6,"432,000","445,250","3,759,365",86.8,"4,331,000","4,372,250",3,3.4,"125,845,577"
10/30/2010,"421,097",92.9,"453,000","447,000","3,783,097",87.4,"4,328,000","4,352,500",3,3.4,"125,845,577"
11/6/2010,"452,657",104.2,"434,000","440,750","3,735,938",87.5,"4,270,000","4,319,250",3,3.4,"125,845,577"
11/13/2010,"409,548",94.7,"432,000","437,750","3,871,043",92.7,"4,176,000","4,276,250",3.1,3.3,"125,845,577"
11/20/2010,"464,817",114.3,"407,000","431,500","3,665,787",86.9,"4,218,000","4,248,000",2.9,3.4,"125,845,577"
11/27/2010,"412,922",95.6,"432,000","426,250","4,216,488",102.4,"4,118,000","4,195,500",3.4,3.3,"125,845,577"
12/4/2010,"585,711",136.9,"428,000","424,750","4,062,531",98.2,"4,137,000","4,162,250",3.2,3.3,"125,845,577"
12/11/2010,"491,776",115.6,"425,000","423,000","4,179,504",102.9,"4,062,000","4,133,750",3.3,3.2,"125,845,577"
12/18/2010,"495,548",116.9,"424,000","427,250","4,116,684",100.1,"4,113,000","4,107,500",3.3,3.3,"125,845,577"
12/25/2010,"525,710",130.1,"404,000","420,250","4,415,512",108,"4,088,000","4,100,000",3.5,3.2,"125,845,577"
1/1/2011,"578,904",140.2,"413,000","416,500","4,790,155",122.9,"3,898,000","4,040,250",3.8,3.1,"125,845,577"
1/8/2011,"773,499",178.3,"434,000","418,750","4,652,805",119.1,"3,907,000","4,001,500",3.7,3.1,"125,560,066"
1/15/2011,"549,688",130.5,"421,000","418,000","4,614,149",116.1,"3,974,000","3,966,750",3.7,3.2,"125,560,066"
1/22/2011,"485,950",109,"446,000","428,500","4,632,950",118,"3,926,000","3,926,250",3.7,3.1,"125,560,066"
1/29/2011,"464,775",110.6,"420,000","430,250","4,605,543",118.5,"3,887,000","3,923,500",3.7,3.1,"125,560,066"
2/5/2011,"440,706",109.6,"402,000","422,250","4,575,640",116.5,"3,928,000","3,928,750",3.6,3.1,"125,560,066"
2/12/2011,"424,400",99.9,"425,000","423,250","4,587,740",119.5,"3,839,000","3,895,000",3.7,3.1,"125,560,066"
2/19/2011,"380,985",96.7,"394,000","410,250","4,344,862",113.7,"3,821,000","3,868,750",3.5,3,"125,560,066"
2/26/2011,"353,797",91.9,"385,000","401,500","4,460,146",117.1,"3,809,000","3,849,250",3.6,3,"125,560,066"
3/5/2011,"407,299",98.3,"414,000","404,500","4,296,805",113.9,"3,772,000","3,810,250",3.4,3,"125,560,066"
3/12/2011,"371,721",92.1,"404,000","399,250","4,277,092",113.4,"3,772,000","3,793,500",3.4,3,"125,560,066"
3/19/2011,"354,457",87.1,"407,000","402,500","4,131,066",110.1,"3,752,000","3,776,250",3.3,3,"125,560,066"
3/26/2011,"357,457",89.5,"399,000","406,000","4,085,667",108.5,"3,766,000","3,765,500",3.3,3,"125,560,066"
4/2/2011,"353,817",89.6,"395,000","401,250","3,943,591",105,"3,756,000","3,761,500",3.1,3,"125,560,066"
4/9/2011,"448,029",107.7,"416,000","404,250","3,893,218",103.8,"3,751,000","3,756,250",3.1,3,"125,572,661"
4/16/2011,"381,834",94.9,"402,000","403,000","3,783,787",101.8,"3,717,000","3,747,500",3,3,"125,572,661"
4/23/2011,"387,867",91.9,"422,000","408,750","3,769,810",99.3,"3,796,000","3,755,000",3,3,"125,572,661"
4/30/2011,"415,974",88.9,"468,000","427,000","3,723,271",97.1,"3,834,000","3,774,500",3,3.1,"125,572,661"
5/7/2011,"397,737",91.4,"435,000","431,750","3,586,266",94.7,"3,787,000","3,783,500",2.9,3,"125,572,661"
5/14/2011,"361,573",87.4,"414,000","434,750","3,549,972",93.9,"3,781,000","3,799,500",2.8,3,"125,572,661"
5/21/2011,"376,632",89.1,"423,000","435,000","3,510,507",92.4,"3,799,000","3,800,250",2.8,3,"125,572,661"
5/28/2011,"381,497",91.3,"418,000","422,500","3,426,345",91.9,"3,728,000","3,773,750",2.7,3,"125,572,661"
6/4/2011,"366,816",86.8,"423,000","419,500","3,491,359",93.1,"3,750,000","3,764,500",2.8,3,"125,572,661"
6/11/2011,"400,608",97,"413,000","419,250","3,491,533",93.2,"3,746,000","3,755,750",2.8,3,"125,572,661"
6/18/2011,"394,286",94.7,"416,000","417,500","3,511,416",93.6,"3,752,000","3,744,000",2.8,3,"125,572,661"
6/25/2011,"406,633",96.7,"421,000","418,250","3,555,831",95.6,"3,719,000","3,741,750",2.8,3,"125,572,661"
7/2/2011,"425,640",101.9,"418,000","417,000","3,534,925",94.7,"3,733,000","3,737,500",2.8,3,"125,572,661"
7/9/2011,"473,963",116.1,"408,000","415,750","3,783,316",101.6,"3,724,000","3,732,000",3,3,"125,807,389"
7/16/2011,"470,086",112,"420,000","416,750","3,752,532",100.5,"3,734,000","3,727,500",3,3,"125,807,389"
